UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,DigiDMacht,Grondslag,Grondslaglabel,Grondslaglink
tewerkstellingsvergunning,http://standaarden.overheid.nl/owms/terms/tewerkstverg,X,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wav_art_3,Artikel 3 Wet arbeid vreemdelingen,https://wetten.overheid.nl/jci1.3:c:BWBR0007149&Paragraaf=II&artikel=3
tewerkstellingsvergunning,http://standaarden.overheid.nl/owms/terms/tewerkstverg,X,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wav_art_5,Artikel 5 Wet arbeid vreemdelingen,https://wetten.overheid.nl/jci1.3:c:BWBR0007149&Paragraaf=II&artikel=5
thuiszorg,http://standaarden.overheid.nl/owms/terms/thuiszorg,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&Paragraaf=3&artikel=2.3.1
tijdelijk en incidenteel werken in gereglementeerd beroep melding,http://standaarden.overheid.nl/owms/terms/tijdIncWerkGeregBerMeld,X,,,,X,,,B2,,,X,,,,,http://standaarden.overheid.nl/owms/terms/AlgWetEUBerKwal_art_22,Artikel 22 Algemene wet erkenning EU-beroepskwalificaties,https://wetten.overheid.nl/jci1.3:c:BWBR0023066&hoofdstuk=3&artikel=22
tijdelijk huisverbod,http://standaarden.overheid.nl/owms/terms/tijdHuisverbod,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wth_art_2,Artikel 2 Wet tijdelijk huisverbod,https://wetten.overheid.nl/jci1.3:c:BWBR0024649&artikel=2
tijdelijk luchtvaartterrein ontheffing,http://standaarden.overheid.nl/owms/terms/tijdelijk_luchtvaartterrein_ontheffing,,X,,X,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WLV_art_8a_51,Artikel 8a.51 Wet luchtvaart,https://wetten.overheid.nl/jci1.3:c:BWBR0005555&hoofdstuk=8a&titeldeel=8A.5&artikel=8a.51
tijdelijke opheffing geschorst kenteken,http://standaarden.overheid.nl/owms/terms/tijdOphGeschKent,X,,,,X,X,,C4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/KR_art_23,Artikel 23 Kentekenreglement,https://wetten.overheid.nl/jci1.3:c:BWBR0006951&hoofdstuk=4&artikel=23
tijdelijke opheffing geschorst kenteken bij evenement,http://standaarden.overheid.nl/owms/terms/tijdOphGeschKentEven,X,,,,X,X,,C4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/KR_art_23,Artikel 23 Kentekenreglement,https://wetten.overheid.nl/jci1.3:c:BWBR0006951&hoofdstuk=4&artikel=23
tillift,http://standaarden.overheid.nl/owms/terms/tillift,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&Paragraaf=3&artikel=2.3.1
toerismesubsidie,http://standaarden.overheid.nl/owms/terms/toerismesubsidie,,,,X,,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
toeristenbelasting,http://standaarden.overheid.nl/owms/terms/toeristenbelasting,X,,,X,X,,,A2;L5,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Gemw_art_224,Artikel 224 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&Paragraaf=3&artikel=224
toeristenvisum,http://standaarden.overheid.nl/owms/terms/toeristenvisum,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/VB_art_3_3,Artikel 3.3 Vreemdelingenbesluit 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011825&hoofdstuk=3&afdeling=1&artikel=3.3
toeslag toeslagenwet,http://standaarden.overheid.nl/owms/terms/toeslagToeslagenwet,X,,,,X,,,B6,,,X,,,,,http://standaarden.overheid.nl/owms/terms/TW_art_2,Artikel 2 Toeslagenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004043&hoofdstuk=II&Paragraaf=1&artikel=2
tolk,http://standaarden.overheid.nl/owms/terms/tolk,,,,X,X,,,,,,,,,,,,,
trouwlocatie,http://standaarden.overheid.nl/owms/terms/trouwlocatie,,,,X,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_63,Artikel 63 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=5&afdeling=4&artikel=63
uitkering vervolgingsslachtoffers 1940-1945,http://standaarden.overheid.nl/owms/terms/uitkVervSlchtoff4045,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WUV_art_7,Artikel 7 Wet uitkeringen vervolgingsslachtoffers 1940-1945,https://wetten.overheid.nl/jci1.3:c:BWBR0002844&hoofdstuk=II&Paragraaf=1&artikel=7
uitlening gemeentelijke materialen,http://standaarden.overheid.nl/owms/terms/uitlening_gemeentelijke_materialen,,,,X,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7A_art_1777,Artikel 1777 Burgerlijk Wetboek Boek 7A,https://wetten.overheid.nl/jci1.3:c:BWBR0006000&boek=7a&titeldeel=Dertiende&afdeling=Eerste&artikel=1777
uitspraak bestuursrechter herzieningsverzoek,http://standaarden.overheid.nl/owms/terms/uitsprBestRechtHerzVerz,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_8_119,Artikel 8:119 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=8&titeldeel=8.6&artikel=8:119
uitspraak huurcommissie verzoek,http://standaarden.overheid.nl/owms/terms/uitsprHuurcommVerz,X,,,,X,X,,D1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Uw_HW_art_4,Artikel 4 Uitvoeringswet huurprijzen woonruimte,https://wetten.overheid.nl/jci1.3:c:BWBR0014315&hoofdstuk=II&Paragraaf=2&artikel=4
uitspraak huurcommissie verzoek,http://standaarden.overheid.nl/owms/terms/uitsprHuurcommVerz,X,,,,X,X,,D1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Uw_HW_art_4a,Artikel 4a Uitvoeringswet huurprijzen woonruimte,https://wetten.overheid.nl/jci1.3:c:BWBR0014315&hoofdstuk=II&Paragraaf=2&artikel=4a
uitspraken huurcommisie inzage,http://standaarden.overheid.nl/owms/terms/uitsprhuurcommInz,X,,,,X,X,,H5,,,,,,,,http://standaarden.overheid.nl/owms/terms/Uw_HW_art_3i,Artikel 3i Uitvoeringswet huurprijzen woonruimte,https://wetten.overheid.nl/jci1.3:c:BWBR0014315&hoofdstuk=II&Paragraaf=1&artikel=3i
uitvliegontheffing,http://standaarden.overheid.nl/owms/terms/uitvlOntheffing,,,,X,X,,,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_63,Artikel 2:63 Model Algemene plaatselijke verordening,
urgentiebewijs woning,http://standaarden.overheid.nl/owms/terms/urgBewWoning,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Huisvw_art_12,Artikel 12 Huisvestingswet 2014,https://wetten.overheid.nl/jci1.3:c:BWBR0035303&hoofdstuk=2&Paragraaf=2&artikel=12
uwv reiskostenvergoeding,http://standaarden.overheid.nl/owms/terms/uwvReiskVerg,X,,,,X,,,B9,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BRKostVergUWV_art_2,Artikel 2 Beleidsregel kostenvergoeding UWV,https://wetten.overheid.nl/jci1.3:c:BWBR0028578&artikel=2
uwv-inzagerecht en correctieverzoek,http://standaarden.overheid.nl/owms/terms/uwvInzRechtCorrVerz,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Reg_inz_corr_UWV_art_2,Artikel 2 Regeling inzage- en correctierecht UWV 2018,https://wetten.overheid.nl/jci1.3:c:BWBR0040934&Paragraaf=2&artikel=2
vaarvergunning,http://standaarden.overheid.nl/owms/terms/vaarvergunning,,,,X,X,X,X,N1,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
vaarweggebruik,http://standaarden.overheid.nl/owms/terms/vaarweggebruik,,X,X,,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/BPR_art_1_21,Artikel 1.21 Binnenvaartpolitiereglement,https://wetten.overheid.nl/jci1.3:c:BWBR0003628&deel=I&hoofdstuk=1&artikel=1.21
vaderschapsontkenning verklaring,http://standaarden.overheid.nl/owms/terms/vaderschapsontkenning_verklaring,X,,,X,X,,,G1,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_200,Artikel 200 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=11&afdeling=2&artikel=200
vakantiemelding ww,http://standaarden.overheid.nl/owms/terms/vakMldWw,X,,,,X,,,B6,,,,,,X,,http://standaarden.overheid.nl/owms/terms/UitkReglWW2015_art_5,Artikel 5 Uitkeringsreglement WW 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0036710&Paragraaf=3&artikel=5
vakantierecht,http://standaarden.overheid.nl/owms/terms/vakantierecht,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_634,Artikel 634 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=10&afdeling=3&artikel=634
vakbekwaamheid certificaat,http://standaarden.overheid.nl/owms/terms/vakbekwCert,X,,,,X,,,B3;H5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Arbo_art_20,Artikel 20 Arbeidsomstandighedenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0010346&hoofdstuk=4&artikel=20
vakbekwaamheidseis,http://standaarden.overheid.nl/owms/terms/vakbekwEis,X,,,,X,,,,,,,,,,,,,
valkeniersakte,http://standaarden.overheid.nl/owms/terms/valkeniersakte,X,,,,X,,,B8,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_natuurbescherming_art_3_30,Artikel 3.30 Wet natuurbescherming,https://wetten.overheid.nl/jci1.3:c:BWBR0037552&hoofdstuk=3&Paragraaf=3.6&artikel=3.30
ventontheffing,http://standaarden.overheid.nl/owms/terms/ventonth,,,,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_5_15,Artikel 5:15 Model Algemene plaatselijke verordening,
ventvergunning,http://standaarden.overheid.nl/owms/terms/ventvergunning,X,,,X,X,X,X,N1,X,,X,,,,,,,
veranderen weg vergunning,http://standaarden.overheid.nl/owms/terms/veranderen_weg_vergunning,,X,,,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/pr_w_vo,provinciale wegenverordening,
verblijfsvergunning,http://standaarden.overheid.nl/owms/terms/verblijfsvergunning,X,,,X,X,,,A1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/VW_art_13,Artikel 13 Vreemdelingenwet 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011823&hoofdstuk=3&afdeling=2&artikel=13
verblijfsvergunning regulier voor bepaalde tijd,http://standaarden.overheid.nl/owms/terms/verblvergregbeptijd,X,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/VW_art_14,Artikel 14 Vreemdelingenwet 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011823&hoofdstuk=3&afdeling=3&Paragraaf=1&artikel=14
verbod op permanente nachtarbeid ontheffing,http://standaarden.overheid.nl/owms/terms/verbodPermNachtarbOnth,X,,,,X,X,X,B8,,,X,,,,,http://standaarden.overheid.nl/owms/terms/ATW_art_5_14,Artikel 5:14 Arbeidstijdenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0007671&hoofdstuk=5&Paragraaf=5.4&artikel=5:14
verbruiksbelasting,http://standaarden.overheid.nl/owms/terms/verbruiksbel,X,,,,,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wvad_art_1,Artikel 1 Wet op de verbruiksbelasting van alcoholvrije dranken,https://wetten.overheid.nl/jci1.3:c:BWBR0005802&hoofdstuk=I&artikel=1
vereisten benoeming leraar vo ontheffing,http://standaarden.overheid.nl/owms/terms/vereisBenLerVoOnth,X,,,,X,,,B3,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WVO_art_33,Artikel 33 Wet op het voortgezet onderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0002399&titeldeel=II&afdeling=I&hoofdstuk=I&Paragraaf=3&artikel=33
vereniging stamboekvee erkenning,http://standaarden.overheid.nl/owms/terms/verstamverk,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_2016_1012_art_4,"Verordening (EU) 2016/1012 van het Europees Parlement en de Raad van 8 juni 2016 betreffende de zoötechnische en genealogische voorwaarden voor het fokken van, de handel in en de binnenkomst in de Unie van raszuivere fokdieren, hybride fokvarkens en levende producten daarvan en tot wijziging van Verordening (EU) nr. 652/2014, de Richtlijnen 89/608/EEG en 90/425/EEG van de Raad en tot intrekking van bepaalde handelingen op het gebied van dierfokkerij (Fokkerijverordening), art. 4",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32016R1012&from=NL#d1e1610-66-1
verhuismelding,http://standaarden.overheid.nl/owms/terms/verhuismelding,,,,X,X,,,,,X,,,X,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_39,Artikel 2.39 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=5&artikel=2.39
verhuurdersverklaring,http://standaarden.overheid.nl/owms/terms/verhuurdersverklaring,,,,X,X,X,,,,X,,,,,,,,
verkeersbesluit,http://standaarden.overheid.nl/owms/terms/verkeersbesluit,,X,X,X,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_18,Artikel 18 Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=II&Paragraaf=2&artikel=18
verkeersboete,http://standaarden.overheid.nl/owms/terms/verkeersboete,X,,,,X,X,,C5,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wahv_art_2,Artikel 2 Wet administratiefrechtelijke handhaving verkeersvoorschriften,https://wetten.overheid.nl/jci1.3:c:BWBR0004581&hoofdstuk=II&artikel=2
verkeersbrigadier,http://standaarden.overheid.nl/owms/terms/verkeersbrigadier,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/BABW_art_56,Artikel 56 Besluit administratieve bepalingen inzake het wegverkeer (BABW),https://wetten.overheid.nl/jci1.3:c:BWBR0004826&hoofdstuk=V&artikel=56
verkeerscirculatie,http://standaarden.overheid.nl/owms/terms/verkeerscirculatie,,,X,X,X,X,,,X,,,,,,,,,
verkeersregelaar,http://standaarden.overheid.nl/owms/terms/verkeersregelaar,,,,X,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/BABW_art_56,Artikel 56 Besluit administratieve bepalingen inzake het wegverkeer (BABW),https://wetten.overheid.nl/jci1.3:c:BWBR0004826&hoofdstuk=V&artikel=56
verklaring afgelegd examen,http://standaarden.overheid.nl/owms/terms/verklAfgelExamen,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eindexamenbesluit_VO_art_54,Artikel 54 Eindexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0004593&hoofdstuk=V&artikel=54
verklaring afgelegd examen,http://standaarden.overheid.nl/owms/terms/verklAfgelExamen,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Staatsexamenbesluit_VO_art_32,Artikel 32 Staatsexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0011538&hoofdstuk=IV&artikel=32
verklaring omtrent gedrag (vog),http://standaarden.overheid.nl/owms/terms/verklaring_omtrent_gedrag_(vog),X,,,X,X,X,,B8;N1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wjsg_art_28,Artikel 28 Wet justitiële en strafvorderlijke gegevens,https://wetten.overheid.nl/jci1.3:c:BWBR0014194&titeldeel=2&afdeling=5&artikel=28
verklaring positie molukkers,http://standaarden.overheid.nl/owms/terms/verklaring_positie_molukkers,X,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WPosMol_art_3,Artikel 3 Wet betreffende de positie van Molukkers,https://wetten.overheid.nl/jci1.3:c:BWBR0003052&artikel=3
verklaring van afstand nederlandse nationaliteit,http://standaarden.overheid.nl/owms/terms/verklaring_van_afstand_nederlandse_nationaliteit,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/RWN_art_15,Artikel 15 Rijkswet op het Nederlanderschap,https://wetten.overheid.nl/jci1.3:c:BWBR0003738&hoofdstuk=5&artikel=15
verklaring van huwelijksbevoegdheid,http://standaarden.overheid.nl/owms/terms/verklaring_van_huwelijksbevoegdheid,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Ovk_verkl_huwbev,"Overeenkomst betreffende de afgifte van een verklaring van huwelijksbevoegdheid, München, 05-09-1980",https://wetten.overheid.nl/jci1.3:c:BWBV0003766&z=1985-02-01&g=1985-02-01
verlof tot begraven,http://standaarden.overheid.nl/owms/terms/verlBegraven,,,,X,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wlb_art_11,Artikel 11 Wet op de lijkbezorging,https://wetten.overheid.nl/jci1.3:c:BWBR0005009&hoofdstuk=II&Paragraaf=2&artikel=11
vermoeden van besmetting melding,http://standaarden.overheid.nl/owms/terms/vermoeden_van_besmetting_melding,,,,X,X,,,,,X,,,X,,,http://standaarden.overheid.nl/owms/terms/Wpg_art_22,Artikel 22 Wet publieke gezondheid,https://wetten.overheid.nl/jci1.3:c:BWBR0024705&hoofdstuk=V&Paragraaf=2&artikel=22
verontreinigingsheffing,http://standaarden.overheid.nl/owms/terms/verontreinigingsheffing,,,X,,X,X,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wtw_art_7_2,Artikel 7.2 Waterwet,https://wetten.overheid.nl/jci1.3:c:BWBR0025458&hoofdstuk=7&Paragraaf=1&artikel=7.2
verordening gemeentefunctionaris goedkeuring,http://standaarden.overheid.nl/owms/terms/verordening_gemeentefunctionaris_goedkeuring,,X,,,,,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/Gemw_art_99,Artikel 99 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=II&hoofdstuk=VI&artikel=99
verslavingszorg,http://standaarden.overheid.nl/owms/terms/verslavingszorg,,,,X,X,X,,,,X,,,,,,,,
verstrekking overheidsinformatie,http://standaarden.overheid.nl/owms/terms/verstrekking_overheidsinformatie,X,X,X,X,X,X,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wob_art_8,Artikel 8 Wet openbaarheid van bestuur,https://wetten.overheid.nl/jci1.3:c:BWBR0005252&hoofdstuk=IV&artikel=8
vervangend kentekenbewijs of tenaamstellingscode,http://standaarden.overheid.nl/owms/terms/vervKentBewTenStCode,X,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_55,Artikel 55 Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=IV&Paragraaf=4b&artikel=55
vervangend opleidingsdocument,http://standaarden.overheid.nl/owms/terms/vervOplDoc,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eindexamenbesluit_VO_art_54,Artikel 54 Eindexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0004593&hoofdstuk=V&artikel=54
vervangend opleidingsdocument,http://standaarden.overheid.nl/owms/terms/vervOplDoc,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Staatsexamenbesluit_VO_art_32,Artikel 32 Staatsexamenbesluit VO,https://wetten.overheid.nl/jci1.3:c:BWBR0011538&hoofdstuk=IV&artikel=32
vervangende leerplicht,http://standaarden.overheid.nl/owms/terms/vervangende_leerplicht,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/LPW_art_3a,Artikel 3a Leerplichtwet 1969,https://wetten.overheid.nl/jci1.3:c:BWBR0002628&Paragraaf=2&artikel=3a
vervoersdocumenten stoffelijk overschot,http://standaarden.overheid.nl/owms/terms/vervoersdocumenten_stoffelijk_overschot,X,,,X,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Blb_art_11,Artikel 11 Besluit op de lijkbezorging,https://wetten.overheid.nl/jci1.3:c:BWBR0009080&Paragraaf=6&artikel=11
vervreemding erfgoed zienswijze,http://standaarden.overheid.nl/owms/terms/vervrErfgoedZiensw,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Erfgoedwet_art_4_17,Artikel 4.17 Erfgoedwet,https://wetten.overheid.nl/jci1.3:c:BWBR0037521&hoofdstuk=4&Paragraaf=4.2&artikel=4.17
verwerking dierlijke bijproducten erkenning,http://standaarden.overheid.nl/owms/terms/verwdierlbijproderk,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_1069_2009_art_24,"Verordening (EG) nr. 1069/2009 van het Europees Parlement en de Raad van 21 oktober 2009 tot vaststelling van gezondheidsvoorschriften inzake niet voor menselijke consumptie bestemde dierlijke bijproducten en afgeleide producten en tot intrekking van Verordening (EG) nr. 1774/2002 (verordening dierlijke bijproducten), art. 24",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32009R1069&from=NL#d1e3022-1-1
verwerking dierlijke bijproducten melding,http://standaarden.overheid.nl/owms/terms/verwdierlbijprodmld,X,,,,,X,X,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_1069_2009_art_23,"Verordening (EG) nr. 1069/2009 van het Europees Parlement en de Raad van 21 oktober 2009 tot vaststelling van gezondheidsvoorschriften inzake niet voor menselijke consumptie bestemde dierlijke bijproducten en afgeleide producten en tot intrekking van Verordening (EG) nr. 1774/2002 (verordening dierlijke bijproducten), art. 23",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32009R1069&from=NL#d1e3022-1-1
verwerking persoonsgegevens verantwoordingsplicht,http://standaarden.overheid.nl/owms/terms/verwpersgegverantwpl,X,,,,X,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_2016_679_art_5,"Verordening (EU) 2016/679 van het Europees Parlement en de Raad van 27 april 2016 betreffende de bescherming van natuurlijke personen in verband met de verwerking van persoonsgegevens en betreffende het vrije verkeer van die gegevens en tot intrekking van Richtlijn 95/46/EG (algemene verordening gegevensbescherming), art. 5",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32016R0679&from=NL#d1e1369-1-1
verwijdering asbestdaken subsidie,http://standaarden.overheid.nl/owms/terms/verwAsbestdakSubs,X,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/SRVerwAsb_art_3,Artikel 3 Subsidieregeling verwijderen asbestdaken,https://wetten.overheid.nl/jci1.3:c:BWBR0037274&artikel=3
verzekeringsplicht sociale verzekeringen ontheffing,http://standaarden.overheid.nl/owms/terms/verzekPlSocVerzOnth,X,,,,X,,,B9,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wsfv_art_64,Artikel 64 Wet financiering sociale verzekeringen,https://wetten.overheid.nl/jci1.3:c:BWBR0017745&hoofdstuk=5&artikel=64
verzekeringsplicht volksverzekeringen ontheffing,http://standaarden.overheid.nl/owms/terms/verzekPlVolksverzOnth,X,,,,X,,,B5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Bkvv_1999_art_21a,Artikel 21a Besluit uitbreiding en beperking kring verzekerden volksverzekeringen 1999,https://wetten.overheid.nl/jci1.3:c:BWBR0010182&Paragraaf=3&artikel=21a
verzekeringsplicht volksverzekeringen ontheffing,http://standaarden.overheid.nl/owms/terms/verzekPlVolksverzOnth,X,,,,X,,,B5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Bkvv_1999_art_21b,Artikel 21b Besluit uitbreiding en beperking kring verzekerden volksverzekeringen 1999,https://wetten.overheid.nl/jci1.3:c:BWBR0010182&Paragraaf=3&artikel=21b
verzekeringsplicht volksverzekeringen ontheffing,http://standaarden.overheid.nl/owms/terms/verzekPlVolksverzOnth,X,,,,X,,,B5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Bkvv_1999_art_21c,Artikel 21c Besluit uitbreiding en beperking kring verzekerden volksverzekeringen 1999,https://wetten.overheid.nl/jci1.3:c:BWBR0010182&Paragraaf=3&artikel=21c
verzekeringsplicht volksverzekeringen ontheffing,http://standaarden.overheid.nl/owms/terms/verzekPlVolksverzOnth,X,,,,X,,,B5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Bkvv_1999_art_22,Artikel 22 Besluit uitbreiding en beperking kring verzekerden volksverzekeringen 1999,https://wetten.overheid.nl/jci1.3:c:BWBR0010182&Paragraaf=3&artikel=22
verzet tegen uitspraak bestuursrechter,http://standaarden.overheid.nl/owms/terms/verzetUitsprBestRecht,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_8_55,Artikel 8:55 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=8&titeldeel=8.2&afdeling=8.2.4&artikel=8:55
verzoek overheidsinformatie,http://standaarden.overheid.nl/owms/terms/verzoek_overheidsinformatie,X,X,X,,X,X,,,X,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wob_art_3,Artikel 3 Wet openbaarheid van bestuur,https://wetten.overheid.nl/jci1.3:c:BWBR0005252&hoofdstuk=III&artikel=3
verzoekschrift,http://standaarden.overheid.nl/owms/terms/verzoekschrift,X,,,X,X,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/GW_art_5,Artikel 5 Grondwet,https://wetten.overheid.nl/jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=5
veterinair exportcertificaat,http://standaarden.overheid.nl/owms/terms/vetexpcert,X,,,,,X,X,,,,X,,,,,,,
veterinair laboratorium erkenning,http://standaarden.overheid.nl/owms/terms/vetlaberk,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Reg_erkenning_veterin_lab_art_3,Artikel 3 Regeling erkenning en aanwijzing veterinaire laboratoria,https://wetten.overheid.nl/jci1.3:c:BWBR0019575&Paragraaf=1&artikel=3
vijfenveertigplusser ontwikkeladvies,http://standaarden.overheid.nl/owms/terms/vijfenveerPlusOntwAdv,X,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Tijd_sub_ontwadv,Tijdelijke subsidieregeling ontwikkeladvies vijfenveertigplussers,https://wetten.overheid.nl/jci1.3:c:BWBR0040282&z=2018-12-28
visvergunning,http://standaarden.overheid.nl/owms/terms/visvergunning,X,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Visserijwet_1963_art_21,Artikel 21 Visserijwet 1963,https://wetten.overheid.nl/jci1.3:c:BWBR0002416&hoofdstuk=V&afdeling=I&Paragraaf=4&artikel=21
